,,,F_US_NE,F_US_IA,F_RU_A,F_RU_T,F_RU_C,F_PL,W_CA_NL
A,EF064207,7,4,,,,,3,
E,EF064210.1,48,7,,5,5,4,27,
F,EF064211.1,200,41,10,6,10,11,25,97
F6,KX766409,4,,,,,,,4
F7,KX766410.1,6,3,,,,,2,1
G,EF064212.1,4,,,3,,1,,
